sample,site,matched,pacbio,excluded,failed_qc,run,barcode
R30396,south_africa,1,0,0,0,FAK48888,8
R27657,south_africa,1,0,0,0,FAK48888,4
R30420,south_africa,1,0,0,0,FAK49586,2
R28691,south_africa,1,0,0,1,FAK46355,6
R23399,south_africa,1,0,0,1,FAK48914,2
R21839,south_africa,1,0,0,0,FAK46428,8
R28182,south_africa,1,0,0,0,FAK49586,12
R20896,south_africa,1,0,0,0,FAK46428,9
R23887,south_africa,1,0,0,0,FAK48888,6
R17830,south_africa,1,0,0,1,FAK48888,7
R37765,south_africa,1,0,0,0,FAK46428,1
R27006,south_africa,0,0,1,0,FAK48913,15
R29669,south_africa,1,0,0,1,FAK46355,5
R30215,south_africa,1,0,0,0,FAK46428,5
R21893,south_africa,1,0,0,0,FAK48856,11
R27725,south_africa,1,0,0,0,FAK46428,6
R21408,south_africa,1,0,0,0,FAK48818,24
R28012,south_africa,1,0,0,0,FAK48914,1
R28703,south_africa,1,0,0,0,FAK46428,7
R26984,south_africa,0,0,1,1,,
R22393,south_africa,1,0,0,1,FAK48856,5
R21770,south_africa,1,0,0,0,FAK49586,5
R20260,south_africa,1,0,0,0,FAK48856,12
R25048,south_africa,1,0,0,0,FAK46428,3
R36440,south_africa,1,0,0,1,FAK49586,7
R38290,south_africa,1,0,0,1,FAK48913,18
R23144,south_africa,1,0,0,1,FAK46355,4
R23146,south_africa,1,0,0,0,FAK48888,3
R32273,south_africa,1,0,1,1,FAK46355,2
R32929,south_africa,1,0,0,0,FAK46428,2
R22435,south_africa,0,0,1,1,,
R20328,south_africa,1,0,0,1,FAK48856,3
R23571,south_africa,1,0,0,0,FAK48914,5
R23824,south_africa,0,0,1,1,,
R32258,south_africa,0,0,1,1,,
R20574,south_africa,1,0,0,0,FAK48913,17
R20968,south_africa,1,0,0,1,FAK46355,9
R28980,south_africa,1,0,0,0,FAK48913,14
R26840,south_africa,0,0,1,1,,
R24120,south_africa,1,0,0,0,FAK48856,6
R28581,south_africa,1,0,0,0,FAK48856,9
R15311,south_africa,1,0,0,0,FAK48818,20
R22333,south_africa,1,0,0,1,FAK48913,16
R22601,south_africa,1,0,0,0,FAK46428,4
R20983,south_africa,1,0,0,0,FAK48914,4
R37259,south_africa,1,0,0,1,FAK46355,1
R28773,south_africa,1,0,0,1,FAK48818,21
R26778,south_africa,1,0,0,0,FAK48856,1
R21648,south_africa,1,0,0,1,FAK48856,2
17_609069_c2,birmingham,0,0,1,1,tb_birmingham_4,12
17_616026,birmingham,1,0,0,0,tb_birmingham_4,7
17_616156,birmingham,1,0,0,0,tb_birmingham_4,8
17_616166,birmingham,1,0,0,1,tb_birmingham_4,9
17_619267,birmingham,0,0,1,1,tb_birmingham_4,11
17_619748,birmingham,0,0,1,1,tb_birmingham_4,10
18_0621850,birmingham,1,0,0,1,birmingham-mgit-run7,10
18_0621851,birmingham,1,0,0,0,birmingham-mgit-run4,11
18_0621852,birmingham,1,0,0,1,birmingham-mgit-run3,5
18_0622034,birmingham,1,0,0,1,birmingham-mgit-run7,6
18_0622057,birmingham,1,0,0,0,birmingham-mgit-run5,1
18_0622132,birmingham,0,0,1,1,,
18_0622158,birmingham,1,0,0,0,birmingham-mgit-run7,8
18_0622212,birmingham,1,0,0,1,birmingham-mgit-run5,5
18_0622217,birmingham,1,0,0,1,birmingham-mgit-run4,7
18_0622224,birmingham,1,0,0,0,birmingham-mgit-run7,7
18_0622267,birmingham,1,0,0,0,birmingham-mgit-run6,2
18_0622291,birmingham,1,0,0,0,birmingham-mgit-run4,12
18_0622293,birmingham,1,0,0,1,birmingham-mgit-run6,3
18_0622296,birmingham,0,0,1,1,,
18_0622300,birmingham,1,0,0,0,birmingham-mgit-run6,4
18_0622302,birmingham,1,0,0,1,birmingham-mgit-run6,5
18_0622312,birmingham,1,0,0,0,birmingham-mgit-run3,2
18_0622314,birmingham,0,0,1,1,,
18_0622317,birmingham,1,0,0,1,birmingham-mgit-run5,3
18_0622363,birmingham,1,0,0,0,birmingham-mgit-run3,3
18_0622365,birmingham,1,0,0,0,birmingham-mgit-run3,6
18_0622371,birmingham,0,0,1,1,,
18_0622383,birmingham,0,0,1,1,,
18_0622394,birmingham,0,0,1,1,,
18_0622395,birmingham,0,0,1,1,,
18_0622422,birmingham,0,0,1,1,,
18_0622425,birmingham,0,0,1,1,,
18_0622429,birmingham,1,0,0,1,birmingham-mgit-run4,9
18_0622431,birmingham,1,0,0,0,birmingham-mgit-run4,8
18_0622434,birmingham,1,0,0,0,birmingham-mgit-run7,9
18_0622439,birmingham,0,0,1,1,,
18_0622441,birmingham,1,0,0,1,birmingham-mgit-run3,1
18_0622446,birmingham,1,0,0,0,birmingham-mgit-run5,2
18_0622455,birmingham,1,0,0,0,birmingham-mgit-run6,1
18_0622456,birmingham,1,0,0,0,birmingham-mgit-run3,4
18_0622465,birmingham,1,0,0,0,birmingham-mgit-run4,10
18_620602,birmingham,1,0,0,1,mgit_phe_2,5
18_620606,birmingham,1,0,0,0,mgit_phe_1,2
18_620650,birmingham,1,0,0,1,mgit_phe_2,3
18_620949,birmingham,0,0,1,1,mgit_phe_2,8
